date_time,record_id,stn_id,ta,ta_quality,dp,dp_quality,rh,rh_quality,ws,ws_quality,wd,wd_quality,p,p_quality,z,z_quality,symbol,u,v
2016-01-14 02:00:00,ua,66037,-18.0,N,-30.8,N,31.0,N,12.7,N,310.0,N,400.0,N,7593.0,N,#,9.728764427611022,-8.163402643019047
2016-01-14 02:00:00,ua,66037,-18.1,N,-30.5,N,33.0,N,12.7,N,310.0,N,399.0,N,7615.0,N,#,9.728764427611022,-8.163402643019047
2016-01-14 02:00:00,ua,66037,-20.0,N,-29.1,N,44.0,N,12.7,N,300.0,N,383.0,N,7910.0,N,#,10.99852262806237,-6.350000000000001
2016-01-14 02:00:00,ua,66037,-22.9,N,-44.3,N,12.0,N,12.8,N,285.0,N,357.0,N,8430.0,N,#,12.363850576500077,-3.31288377731226
2016-01-14 02:00:00,ua,66037,-25.0,N,-48.8,N,9.0,N,11.7,N,280.0,N,346.0,N,8661.0,N,#,11.522250710242835,-2.0316836787030805
2016-01-14 02:00:00,ua,66037,-34.5,N,-48.3,N,23.0,N,13.0,N,285.0,N,300.0,N,9680.0,N,#,12.55703574175789,-3.364647586332764
2016-01-14 02:00:00,ua,66037,-34.8,N,-48.5,N,23.0,N,13.1,N,285.0,N,299.0,N,9703.0,N,#,12.653628324386796,-3.390529490843016
2016-01-14 02:00:00,ua,66037,-45.5,N,-59.0,N,20.0,N,15.2,N,270.0,N,250.0,N,10925.0,N,#,15.2,2.792194702055965e-15
2016-01-14 02:00:00,ua,66037,-48.3,N,-60.3,N,23.0,N,14.1,N,265.0,N,239.0,N,11228.0,N,#,14.046345243093612,1.2288959727419813
2016-01-14 02:00:00,ua,66037,-49.0,N,-61.0,N,23.0,N,14.8,N,260.0,N,236.0,N,11298.0,N,#,14.57515474458068,2.569993029470569
2016-01-14 02:00:00,ua,66037,-50.5,N,-64.8,N,16.0,N,18.4,N,245.0,N,226.0,N,11603.0,N,#,16.67606328147436,7.776176016028864
2016-01-14 02:00:00,ua,66037,-53.3,N,-62.8,N,30.0,N,24.3,N,240.0,N,215.0,N,11921.0,N,#,21.044417311961855,12.150000000000011
2016-01-14 02:00:00,ua,66037,-56.5,N,-63.8,N,39.0,N,29.0,N,240.0,N,202.0,N,12310.0,N,#,25.114736709748712,14.500000000000012
2016-01-14 02:00:00,ua,66037,-57.3,N,-64.3,N,40.0,N,29.7,N,240.0,N,200.0,N,12374.0,N,#,25.72095449239782,14.850000000000012
2016-01-14 02:00:00,ua,66037,-60.0,N,-66.3,N,43.0,N,31.5,N,240.0,N,191.0,N,12679.0,N,#,27.279800219209807,15.750000000000014
2016-01-14 02:00:00,ua,66037,-65.9,N,-71.9,N,42.0,N,16.0,N,230.0,N,166.0,N,13532.0,N,#,12.256711089903646,10.284601754984632
2016-01-14 02:00:00,ua,66037,-67.7,N,-73.2,N,44.0,N,8.4,N,250.0,N,160.0,N,13764.0,N,#,7.8934180146016315,2.872969203935616
2016-01-14 02:00:00,ua,66037,-68.8,N,-74.3,N,44.0,N,8.6,N,285.0,N,153.0,N,14014.0,N,#,8.306962106085988,-2.2258437878816744
2016-01-14 02:00:00,ua,66037,-69.8,N,-75.1,N,45.0,N,8.7,N,290.0,N,150.0,N,14135.0,N,#,8.175325800837403,-2.97557524693332
2016-01-14 02:00:00,ua,66037,-70.2,N,-75.3,N,46.0,N,8.5,N,290.0,N,149.0,N,14187.0,N,#,7.987387276680221,-2.9071712182681866
2016-01-14 02:00:00,ua,66037,-69.3,N,-75.3,N,41.0,N,14.2,N,290.0,N,143.0,N,14419.0,N,#,13.343635215159898,-4.8566860352245
2016-01-14 02:00:00,ua,66037,-68.7,N,-74.9,N,40.0,N,14.5,N,290.0,N,142.0,N,14447.0,N,#,13.62554300139567,-4.959292078222201
2016-01-14 02:00:00,ua,66037,-65.8,N,-73.3,N,34.0,N,14.0,N,295.0,N,141.0,N,14523.0,N,#,12.688309018513099,-5.916655664369794
2016-01-14 02:00:00,ua,66037,-66.7,N,-77.3,N,20.0,N,14.0,N,310.0,N,136.0,N,14721.0,N,#,10.724622203665694,-8.999026535611549
2016-01-14 02:00:00,ua,66037,-67.7,N,-80.8,N,13.0,N,17.6,N,300.0,N,131.0,N,14960.0,N,#,15.24204710660612,-8.800000000000002
2016-01-14 02:00:00,ua,66037,-67.1,N,-81.3,N,11.0,N,16.9,N,295.0,N,129.0,N,15066.0,N,#,15.316601600919382,-7.142248623417823
2016-01-14 02:00:00,ua,66037,-68.3,N,-87.1,N,5.0,N,13.4,N,285.0,N,116.0,N,15672.0,N,#,12.943406072273516,-3.468175204373772
2016-01-14 02:00:00,ua,66037,-70.8,N,-89.1,N,5.0,N,14.6,N,290.0,N,108.0,N,16132.0,N,#,13.719512263474261,-4.9934940925547675
2016-01-14 02:00:00,ua,66037,-68.1,N,-87.1,N,5.0,N,13.9,N,300.0,N,106.0,N,16234.0,N,#,12.037753112603697,-6.950000000000002
2016-01-14 02:00:00,ua,66037,-67.9,N,-87.8,N,4.0,N,17.8,N,315.0,N,100.0,N,16567.0,N,#,12.58650070512055,-12.586500705120544
